INFO 2024-07-20 00:02:42,357 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-20 00:02:42,364 autoreload Waiting for apps ready_event.
DEBUG 2024-07-20 00:02:42,589 utils (0.003) SELECT "app_weatherdata"."id", "app_weatherdata"."filename", "app_weatherdata"."date", "app_weatherdata"."max_temp", "app_weatherdata"."min_temp", "app_weatherdata"."precipitation" FROM "app_weatherdata" LIMIT 21; args=(); alias=default
DEBUG 2024-07-20 00:02:42,645 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-20 00:02:42,684 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-07-20 00:02:42,685 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/django_filters/templates with glob **/*.
DEBUG 2024-07-20 00:02:42,686 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/drf_spectacular/templates with glob **/*.
DEBUG 2024-07-20 00:02:42,689 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/django_project/locale with glob **/*.mo.
DEBUG 2024-07-20 00:02:42,689 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/drf_spectacular/locale with glob **/*.mo.
DEBUG 2024-07-20 00:02:42,690 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-07-20 00:02:42,690 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2024-07-20 00:02:42,691 autoreload Watching dir /Users/adithya/Documents/code-challenge-template/django_project/app/locale with glob **/*.mo.
DEBUG 2024-07-20 00:02:42,744 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-07-20 00:02:42,748 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-20 00:02:42,859 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/hashlib.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,859 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/sqlparse/sql.py first seen with mtime 1721248441.5048947
DEBUG 2024-07-20 00:02:42,859 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,859 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/drf_spectacular/contrib/rest_framework_simplejwt.py first seen with mtime 1721421010.6190114
